año,mes,dia,2759,2673,2826,2819,2757,2748,2725,2718,2715,2683,2680,2670,2498,2549,2452,86545,2634,27590,2588,2632
1981,2,17,NaN,38,6,55,NaN,37,25,NaN,70,42,25,48,15,30,NaN,19,22,NaN,18,25
1981,2,18,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,19,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,20,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,21,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,22,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,23,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,24,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,25,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,2,26,NaN,0,38,0,NaN,8,0,NaN,2,19,37,3,0,0,NaN,0,17,NaN,3,0
1981,2,27,NaN,12,32,5,NaN,46,16,NaN,11,10,9,11,15,6,NaN,12,2,NaN,4,8
1981,2,28,NaN,0,0,0,NaN,0,0,NaN,0,0,0,8,2,0,NaN,0,0,NaN,0,0
1981,3,1,NaN,0,0,7,NaN,14,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,2,NaN,0,20,27,NaN,0,26,NaN,18,24,41,18,23,19,NaN,12,16,NaN,20,36
1981,3,3,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,4,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,5,NaN,0,0,0,NaN,6,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
1981,3,6,NaN,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,0,0
